Time (s),Linear Acceleration x1 (m/s^2),Linear Acceleration x2 (m/s^2),Linear Acceleration x3 (m/s^2)
2.805,1.537224889,2.107998133,-11.86970043
2.81,2.146964312,2.659606457,-9.896745682
2.815,2.53459549,3.01878643,-7.794939995
2.82,2.893213987,3.377245903,-5.735291004
2.825,3.092282772,3.67732811,-4.265355587
2.83,3.256257296,3.672890425,-3.306398869
2.835,3.034386635,3.486488104,-2.46429491
2.84,2.760962009,3.196326971,-1.551010132
2.845,2.555409908,3.251187086,-0.557921648
2.85,2.237599611,3.367029667,0.206304669
2.855,1.929155469,3.310042381,0.999065638
2.86,1.660658121,3.240649223,1.749190688
2.865,1.532455206,3.122850418,2.252596855
2.87,1.425915718,3.104941368,2.826990843
2.875,1.318603992,3.148469925,3.283237219
2.88,1.113866091,3.172095299,3.605837822
2.885,1.023421884,3.144771099,3.936103582
2.89,0.977151871,3.142950058,4.190303326
2.895,0.936851025,3.16410017,4.213047504
2.9,0.936454892,3.133991241,4.109618187
2.905,0.911762357,3.21037674,3.987587929
2.91,1.080739498,3.211292744,4.02421999
2.915,1.358402252,3.229771614,3.870930672
2.92,1.734217167,3.318342209,3.674986839
2.925,2.07824564,3.448349953,3.531016111
2.93,2.382460117,3.493047237,3.447952986
2.935,2.406328917,3.648493767,3.482873917
2.94,2.580670834,3.768880844,3.623893738
2.945,2.749989986,3.928709984,3.883554697
2.95,2.962283611,4.15711832,4.092740536
2.955,3.079240799,4.3898983,4.264403343
2.96,3.222984314,4.751700401,3.509613276
2.965,3.383939743,5.276558876,4.170570374
2.97,3.370736599,6.130277157,4.786501408
2.975,3.297999859,7.299926281,4.975347042
2.98,3.273029804,8.727880478,4.979139805
2.985,3.319709778,10.30655861,4.700320244
2.99,3.227632999,12.08666325,4.465027809
2.995,3.171448708,14.1435442,4.352267265
3,3.220376968,16.46674347,4.28744936
3.005,3.259498596,18.88836479,4.239209175
3.01,3.356004238,21.05257797,4.121267319
3.015,3.395256519,22.92706871,4.094008446
3.02,3.398863316,24.15881348,4.090517998
3.025,3.584771156,24.78895187,4.120444775
3.03,4.233346462,24.92248917,4.169406891
3.035,5.066507816,25.12843132,4.191730976
3.04,6.490831852,25.35190201,4.134383202
3.045,8.574056625,25.20302582,4.118793488
3.05,11.81319904,24.46866989,4.089549065
3.055,15.55308914,23.29098701,4.220954895
3.06,19.6778965,21.87148857,4.483764172
3.065,24.48866081,20.19471359,4.954632759
3.07,29.94610023,17.83753586,5.850717068
3.075,32.17604065,14.36290073,7.153102398
3.08,38.31502151,8.307440758,8.943673134
3.085,41.43889999,-1.214296222,11.29152107
3.09,43.11514282,-12.15616322,14.45362854
3.095,42.18604279,-25.30346489,18.07592392
3.1,39.69248962,-40.48673248,21.78050232
3.105,37.02256775,-54.02259064,25.69878769
3.11,33.74824524,-63.82209778,29.92759895
3.115,30.21137238,-73.44792938,33.85228348
3.12,25.74284554,-73.43624115,37.39021301
3.125,19.83564758,-67.43239594,40.17055511
3.13,10.82978344,-57.90649414,41.18121719
3.135,-1.772816896,-46.28699493,41.02238083
3.14,-20.1922226,-34.09429169,39.90956879
3.145,-41.91482925,-23.49146271,37.65839386
3.15,-63.36911392,-15.20416164,35.00098419
3.155,-73.41267395,-9.077158928,31.32584572
3.16,-73.16990662,-5.17034626,25.7826252
3.165,-73.1453476,-4.180228233,17.50032043
3.17,-73.24743652,-3.693036556,3.690590858
3.175,-66.25791168,-3.74646759,-18.83182526
3.18,-50.62696838,-3.888092995,-45.9082756
3.185,-32.94039154,-4.337521076,-70.27268982
3.19,-17.14567947,-4.825542927,-73.01699829
3.195,-6.690865993,-5.075105667,-72.75961304
3.2,-3.18760252,-5.388180256,-72.68030548
3.205,-4.193861008,-5.523944378,-72.65518188
3.21,-8.051226616,-5.219711781,-67.07164001
3.215,-11.01843643,-4.554310799,-44.74153519
3.22,-12.01158905,-3.690279961,-26.23045731
3.225,-13.00024796,-2.829942226,-10.12382984
3.23,-12.98815346,-2.082386255,-1.683670044
3.235,-11.74306488,-1.37568593,-1.594787598
3.24,-9.766572952,-0.640222549,-6.831606865
3.245,-7.876502514,-0.088593721,-14.62089729
3.25,-6.20806551,0.306255341,-21.627388
3.255,-4.696305275,0.684239149,-16.12836838
3.26,-3.523267746,1.039850473,-17.36877632
3.265,-2.484118462,1.157773972,-16.45451546
3.27,-1.744799614,1.37913084,-13.79467964
3.275,-1.023035288,1.493373394,-10.65050697
3.28,-0.438672781,1.487371802,-7.840531349
3.285,-0.125143528,1.543679953,-5.598830223
3.29,0.371210575,1.545578122,-3.577012062
3.295,0.428587914,1.555809855,-1.831727028
3.3,1.01292932,1.67118907,-0.484244823
3.305,1.098315239,1.763557076,0.532644272
3.31,1.179143429,1.742872238,1.477861643
3.315,1.27997601,1.598301649,2.300550222
3.32,1.276777148,1.448090553,2.779459238
3.325,1.270106912,1.434835792,3.056646109
3.33,1.372421384,1.546293259,3.161122322
3.335,1.321274996,1.746857762,3.178530931
3.34,1.349964619,1.982609987,2.904397011
3.345,1.383126378,2.207213402,2.530982494
3.35,1.355034709,2.419564962,1.996691942
3.355,1.300407171,2.611262798,1.577429175
3.36,1.272891164,2.780786991,1.053637981
3.365,1.271790504,2.955600739,0.471331239
3.37,1.349896669,3.057838202,-0.114237428
3.375,1.315906644,3.186100245,-0.559012413
3.38,1.296766877,3.321664095,-1.007570982
3.385,1.390870333,3.309468269,-1.510914207
3.39,1.515197396,3.28358078,-1.897561908
3.395,1.800121188,3.248689651,-2.118270874
3.4,2.15142107,3.142564774,-2.187693357
3.405,2.407867193,3.132602692,-2.088743925
3.41,2.613607883,3.180184841,-1.971897602
3.415,2.793411493,3.289744377,-1.910647154
3.42,2.926221132,3.341800213,-1.7150383
3.425,2.978825808,3.334314823,-1.089940786
3.43,3.085787773,3.291205406,-0.750414252
3.435,3.226172924,3.312767506,-0.593884051
3.44,3.357139826,3.48266983,-0.500861228
3.445,3.505119324,3.578480721,-0.380086005
3.45,3.622484207,3.676930428,-0.283127248
3.455,3.769282818,3.768267155,-0.113856375
3.46,3.881304741,3.854626656,-0.06886977
3.465,4.049748421,4.529306412,-0.189573884
3.47,4.150419712,5.724096298,-0.345203161
3.475,4.247912884,7.415019989,-0.397533119
3.48,4.294125557,9.81090641,-0.34215939
3.485,4.415332794,12.31651878,-0.126476645
3.49,4.460602283,16.42947769,0.144934416
3.495,4.530537605,21.55997467,0.496357441
3.5,4.60848999,25.99005318,0.781849861
3.505,4.692358971,30.2758522,1.075593948
3.51,4.660371304,34.07088852,1.274760962
3.515,4.708928108,36.68789673,1.508812666
3.52,4.670480251,38.33408737,1.749294996
3.525,4.647837162,38.6293602,2.001571417
3.53,4.6598773,38.7069664,2.194686413
3.535,4.938358307,37.61764526,2.537266016
3.54,5.119470596,35.81127167,2.869565487
3.545,5.181856632,34.03996277,3.125237465
3.55,5.415073395,31.59848213,3.414812803
3.555,5.986930847,27.14585876,3.659296513
3.56,7.039662838,22.8032856,3.70738554
3.565,8.620641708,15.97418213,3.653815269
3.57,10.71348763,5.887601376,3.42847681
3.575,13.01312256,-7.343295097,3.334450722
3.58,15.64802361,-23.93000412,3.158156872
3.585,18.70469475,-44.82663345,3.253251553
3.59,21.93582726,-60.62775421,3.619447231
3.595,25.10674477,-73.83018494,4.192289829
3.6,28.17563057,-73.42390442,5.187921047
3.605,30.34621048,-73.27867126,6.106275558
3.61,31.69772339,-73.32621002,7.117735386
3.615,32.31847763,-67.67140961,8.725464821
3.62,32.01224518,-45.06472778,11.33065224
3.625,31.04850388,-26.08203697,14.96574974
3.63,30.07226563,-13.99349022,19.41115761
3.635,27.36940575,-6.213923931,24.22707367
3.64,24.90001297,-1.840680122,28.9844017
3.645,22.16140556,-0.514482498,33.48583984
3.65,17.7174511,-1.819739819,36.91464615
3.655,11.36340904,-4.487351894,38.50139236
3.66,1.725892186,-8.432517052,39.19461441
3.665,-12.02374363,-6.478918552,39.25715637
3.67,-30.76645088,-6.889634132,38.02231598
3.675,-50.27833557,-7.999403477,36.42655182
3.68,-57.03747177,-7.655573368,34.65235519
3.685,-72.61617279,-6.820069313,32.48897171
3.69,-72.43497467,-5.893146992,29.16682816
3.695,-72.45871735,-4.756519318,25.75917816
3.7,-67.73587799,-3.426909208,21.6108036
3.705,-55.09846878,-1.766985655,15.82291126
3.71,-43.27392578,-0.191068172,6.747653961
3.715,-29.82775307,1.271250486,-7.377679825
3.72,-16.35765266,2.135735512,-24.90487099
3.725,-5.68742466,2.874310017,-47.53364563
3.73,-0.37366581,3.458654881,-71.19799042
3.735,0.866611958,3.731276035,-74.09793854
3.74,-0.724926949,3.661404371,-73.8887558
3.745,-3.898188591,4.006088257,-73.79750061
3.75,-5.826236725,4.020796776,-73.51656342
3.755,-7.684236526,3.798901558,-53.49319458
3.76,-9.169740677,3.543651581,-34.85975647
3.765,-9.871253014,3.477582693,-18.69927597
3.77,-9.793445587,3.260478973,-6.864163399
3.775,-9.042408943,3.028354645,-0.699212551
3.78,-7.88833046,2.816675186,0.394435406
3.785,-6.449954033,2.650454521,-1.729495525
3.79,-5.061181545,2.341557264,-6.665867329
3.795,-3.578648567,1.976933479,-8.950931549
3.8,-2.310508251,1.557521343,-10.88943863
3.805,-1.230174541,1.244709849,-11.58777809
3.81,-0.43101716,0.930014014,-11.19387054
3.815,0.122421503,0.619715333,-9.671768188
3.82,0.452657938,0.408714056,-7.571855068
3.825,0.768225431,0.239408255,-5.3557868
3.83,0.856882095,0.178865671,-3.263852596
3.835,0.953209043,0.244340658,-1.35751915
3.84,1.245225072,0.347879291,0.212515593
3.845,1.527814507,0.499774098,1.402360678
