Time (s),Linear Acceleration z1 (m/s^2),Linear Acceleration z2 (m/s^2),Linear Acceleration z3 (m/s^2)
2.585,0.527186513,-1.634502292,-4.585598469
2.59,-0.462547421,-3.307869911,-4.83245945
2.595,-1.463202834,-3.47408247,-4.704541206
2.6,-2.303962231,4.827792168,-4.315125465
2.605,-3.766729832,5.313483715,-3.821100235
2.61,-2.87372303,16.54763603,-2.674834728
2.615,-2.742045641,36.67637253,-1.920593858
2.62,-3.156243563,63.06365967,-1.49496603
2.625,-3.265192986,71.37380981,-1.167687774
2.63,-1.735577106,71.26301575,-0.841323256
2.635,0.888278484,71.28559875,-1.059268832
2.64,2.675489426,63.46794891,-1.603100777
2.645,2.622558594,52.8455925,-2.397646904
2.65,0.883574247,41.55514908,-3.343078613
2.655,0.706101418,30.00898933,-3.442946434
2.66,5.733257294,18.49884796,-3.847281456
2.665,15.21450424,8.344807625,-3.852591038
2.67,23.89601898,0.87605238,-4.035006523
2.675,34.57580948,-4.576598644,-3.91165638
2.68,51.65253067,-8.234191895,-3.964027405
2.685,66.19760132,-10.10795307,-4.067594051
2.69,66.62937927,-10.11217117,-3.905913353
2.695,61.55404282,-9.512256622,-2.979878426
2.7,55.26507187,-8.431598663,-2.484961033
2.705,48.34803772,-7.090232372,-3.571476936
2.71,39.47306824,-5.573878765,-5.964822769
2.715,30.04254913,-4.18327713,-5.827906609
2.72,20.65865326,-3.029884815,2.289435863
2.725,12.24759579,-1.904195786,7.298310757
2.73,5.24785471,-0.96962738,18.54959106
2.735,0.081151009,-0.388382435,34.21527481
2.74,-3.753435373,0.096172333,54.4492836
2.745,-6.29052496,0.363641262,62.47980499
2.75,-7.410059929,0.369234562,65.402565
2.755,-7.25129509,0.03640461,64.01482391
2.76,-6.527248383,-0.540150642,60.07461929
2.765,-5.842656136,-1.256878138,53.53902817
2.77,-5.43593502,-1.922185659,44.79097748
2.775,-5.115000248,-2.544906855,34.63519287
2.78,-4.751991272,-3.07611227,22.89513969
2.785,-3.957540989,-3.542873859,12.09340858
2.79,-3.476564884,-3.97449708,3.809509754
