Time (s),Linear Acceleration y1 (m/s^2),Linear Acceleration y2 (m/s^2),Linear Acceleration y3 (m/s^2)
3.495,-8.98692131,-15.1315136,-4.765294075
3.5,-8.98329258,-16.01713943,-4.921401024
3.505,-9.02986908,-16.71130371,-5.179940224
3.51,-9.117578506,-17.27765274,-5.433009148
3.515,-9.23739624,-17.49236679,-5.68039608
3.52,-9.313457489,-17.99323082,-5.864654064
3.525,-9.484946251,-18.98148346,-6.012021542
3.53,-9.725866318,-20.32065392,-6.122496605
3.535,-9.986222267,-21.53426361,-6.244071007
3.54,-10.2806921,-23.57010269,-6.336249352
3.545,-10.56888771,-26.32143784,-6.494861603
3.55,-11.0161047,-29.84744835,-6.669845581
3.555,-11.48866081,-34.40349579,-6.885306835
3.56,-11.93020821,-40.04883575,-7.119698524
3.565,-12.27363777,-45.60602951,-7.425355911
3.57,-12.53923225,-51.40736008,-7.832797527
3.575,-12.56911278,-57.56570435,-8.283938408
3.58,-12.56735325,-62.69146729,-8.859262466
3.585,-12.73581696,-64.54910278,-9.536374092
3.59,-12.94923687,-62.34637833,-10.2022171
3.595,-13.41014004,-45.13906097,-10.75845909
3.6,-13.81502247,-33.00670242,-11.09039688
3.605,-14.0719986,-20.13166428,-11.49038601
3.61,-14.45956802,-12.32078743,-12.05282021
3.615,-15.30187035,-6.600457191,-12.67864799
3.62,-16.5790062,-6.008494854,-13.13383579
3.625,-18.63602829,-9.032287598,-13.39452744
3.63,-21.57999802,-13.98371887,-13.61186409
3.635,-24.85333061,-17.89810944,-13.91294003
3.64,-29.10952759,-16.77679062,-14.53529739
3.645,-33.4763298,-12.30478668,-15.02157307
3.65,-38.08169556,-8.156287193,-15.11401272
3.655,-43.87599945,-5.798252106,-15.06417465
3.66,-50.96911621,-4.200344086,-15.42518234
3.665,-57.7878685,-1.087105274,-16.45638466
3.67,-62.6853447,-1.020744801,-18.0307579
3.675,-63.17565536,0.166766644,-19.80607224
3.68,-55.1728363,1.096422672,-22.19155312
3.685,-43.10736465,1.925050735,-25.26946449
3.69,-30.39814758,2.521738529,-28.75122452
3.695,-22.0238266,2.649749279,-32.88789368
3.7,-11.10849571,2.585888863,-37.11390686
3.705,-4.603552818,2.338142872,-41.97130966
3.71,-7.653647423,1.791790009,-48.28535461
3.715,-14.77345848,1.256263733,-55.42845154
3.72,-19.57205963,0.884434223,-61.23736954
3.725,-20.38533401,0.526108265,-62.84745026
3.73,-17.91377449,0.266489029,-59.10238647
3.735,-14.60779572,0.070229053,-45.94633865
3.74,-12.01522827,-0.08313942,-26.31500435
3.745,-9.663087845,-0.363674164,-17.35307121
3.75,-7.185536385,-0.271491528,-6.926139832
3.755,-4.026171207,-0.249811649,-3.856566191
3.76,-1.632761002,-0.246128082,-8.056121826
3.765,-0.030406475,-0.26247406,-14.58021355
3.77,0.886758327,-0.257546425,-18.48525238
3.775,1.64411974,-0.302320004,-17.56703568
3.78,2.301912308,-0.254702568,-12.49652481
3.785,2.649798393,-0.223473072,-7.345133305
3.79,2.599823952,-0.099997044,-4.234652519
3.795,2.311190128,0.066053391,-2.921641111
3.8,1.925015926,0.158041,-1.092008591
3.805,1.422558784,0.291324615,0.633896351
3.81,0.945201397,0.368318558,1.728571892
3.815,0.447604179,0.480386734,2.20271492
3.82,0.049530506,0.524880409,2.517574787
3.825,-0.263286114,0.495026588,2.58873415
3.83,-0.540694714,0.429377556,2.322926044
3.835,-0.788973331,0.352125168,2.006231785
3.84,-1.040169716,0.208379745,1.722544193
3.845,-1.146695614,0.050882339,1.509478569
3.85,-1.273666859,0.008789063,1.302980423
3.855,-1.408569336,-0.111897469,1.169484138
3.86,-1.428735733,-0.177556038,1.020941257
3.865,-1.409662724,-0.198163986,0.928175449
3.87,-1.452836514,-0.279231071,0.840656281
3.875,-1.33425951,-0.363453865,0.72217989
3.88,-1.284436226,-0.443780422,0.629777908
3.885,-1.263483047,-0.568218231,0.560284138
3.89,-1.214841366,-0.528957367,0.531867981
3.895,-1.27361536,-0.520142078,0.548029423
3.9,-1.371459484,-0.489341736,0.466258049
3.905,-1.380806446,-0.436791897,0.399744034
3.91,-1.384752274,-0.458323002,0.339356899
3.915,-1.495204449,-0.489280701,0.333269596
3.92,-1.553842068,-0.45083952,0.341044903
3.925,-1.646657944,-0.467433929,0.336594582
3.93,-1.802318096,-0.462544441,0.420487881
3.935,-1.862991333,-0.326375961,0.539999485
3.94,-1.895911217,-0.262441635,0.635259151
3.945,-2.037669182,-0.292358398,0.758533955
3.95,-2.07567358,-0.239067078,0.851998329
